code,name,industry,inflow_days,total_days,inflow_ratio,total_inflow,avg_daily_inflow,reason,holders_decreased,holder_change_desc
002142.SZ,宁波银行,银行,72,118,61.02,9.63,0.08,近118天资金净流入72天，累计净流入9.63亿元,False,20250331较20250331: 增加0户(0.00%)
603816.SH,顾家家居,家居用品,78,118,66.1,4.39,0.04,近118天资金净流入78天，累计净流入4.39亿元,False,20250331较20241231: 增加272户(1.35%)
603565.SH,中谷物流,水运,71,118,60.17,2.9,0.02,近118天资金净流入71天，累计净流入2.9亿元,False,20250331较20250331: 增加96户(0.47%)
002966.SZ,苏州银行,银行,73,118,61.86,9.15,0.08,近118天资金净流入73天，累计净流入9.15亿元,True,20250418较20250410: 减少517户(0.86%)
601567.SH,三星医疗,电气设备,72,118,61.02,2.66,0.02,近118天资金净流入72天，累计净流入2.66亿元,True,20250331较20241231: 减少898户(5.20%)
688326.SH,经纬恒润-W,汽车配件,72,118,61.02,0.27,0.0,近118天资金净流入72天，累计净流入0.27亿元,False,20250331较20241231: 增加1100户(17.70%)
688687.SH,凯因科技,生物制药,74,118,62.71,1.83,0.02,近118天资金净流入74天，累计净流入1.83亿元,False,20250410较20250331: 增加90户(0.92%)
