code,name,industry,inflow_days,total_days,inflow_ratio,total_inflow,avg_daily_inflow,reason
003043.SZ,华亚智能,半导体,3,4,75.0,0.06,0.01,近4天资金净流入3天，累计净流入0.06亿元
601567.SH,三星医疗,电气设备,3,4,75.0,0.14,0.04,近4天资金净流入3天，累计净流入0.14亿元
603268.SH,*ST松发,家居用品,3,3,100.0,0.33,0.11,近3天资金净流入3天，累计净流入0.33亿元
605333.SH,沪光股份,汽车配件,4,4,100.0,0.55,0.14,近4天资金净流入4天，累计净流入0.55亿元
688087.SH,英科再生,环境保护,4,4,100.0,0.21,0.05,近4天资金净流入4天，累计净流入0.21亿元
603885.SH,吉祥航空,空运,3,4,75.0,0.37,0.09,近4天资金净流入3天，累计净流入0.37亿元
603826.SH,坤彩科技,染料涂料,4,4,100.0,0.2,0.05,近4天资金净流入4天，累计净流入0.2亿元
002609.SZ,捷顺科技,软件服务,3,4,75.0,0.21,0.05,近4天资金净流入3天，累计净流入0.21亿元
600674.SH,川投能源,水力发电,4,4,100.0,0.97,0.24,近4天资金净流入4天，累计净流入0.97亿元
301061.SZ,匠心家居,家居用品,3,4,75.0,0.11,0.03,近4天资金净流入3天，累计净流入0.11亿元
002203.SZ,海亮股份,铜,3,4,75.0,0.19,0.05,近4天资金净流入3天，累计净流入0.19亿元
002901.SZ,大博医疗,医疗保健,3,4,75.0,0.45,0.11,近4天资金净流入3天，累计净流入0.45亿元
688225.SH,亚信安全,软件服务,3,4,75.0,0.08,0.02,近4天资金净流入3天，累计净流入0.08亿元
300836.SZ,佰奥智能,专用机械,3,4,75.0,0.13,0.03,近4天资金净流入3天，累计净流入0.13亿元
600433.SH,冠豪高新,造纸,4,4,100.0,0.07,0.02,近4天资金净流入4天，累计净流入0.07亿元
688611.SH,杭州柯林,电气设备,3,4,75.0,0.06,0.02,近4天资金净流入3天，累计净流入0.06亿元
605081.SH,*ST太和,环境保护,2,3,66.67,0.14,0.05,近3天资金净流入2天，累计净流入0.14亿元
603137.SH,恒尚节能,装修装饰,3,4,75.0,0.05,0.01,近4天资金净流入3天，累计净流入0.05亿元
301068.SZ,大地海洋,环境保护,3,4,75.0,0.02,0.01,近4天资金净流入3天，累计净流入0.02亿元
688059.SH,华锐精密,机械基件,3,4,75.0,0.0,0.0,近4天资金净流入3天，累计净流入0.0亿元
603429.SH,集友股份,广告包装,3,4,75.0,0.06,0.01,近4天资金净流入3天，累计净流入0.06亿元
600594.SH,益佰制药,中成药,3,4,75.0,0.06,0.01,近4天资金净流入3天，累计净流入0.06亿元
603018.SH,华设集团,建筑工程,4,4,100.0,0.21,0.05,近4天资金净流入4天，累计净流入0.21亿元
688689.SH,银河微电,半导体,4,4,100.0,0.17,0.04,近4天资金净流入4天，累计净流入0.17亿元
002589.SZ,瑞康医药,医药商业,4,4,100.0,0.25,0.06,近4天资金净流入4天，累计净流入0.25亿元
601992.SH,金隅集团,水泥,4,4,100.0,0.26,0.07,近4天资金净流入4天，累计净流入0.26亿元
603055.SH,台华新材,纺织,3,4,75.0,0.06,0.02,近4天资金净流入3天，累计净流入0.06亿元
688509.SH,正元地信,软件服务,4,4,100.0,0.06,0.01,近4天资金净流入4天，累计净流入0.06亿元
688375.SH,国博电子,元器件,4,4,100.0,0.08,0.02,近4天资金净流入4天，累计净流入0.08亿元
