code,name,industry,inflow_days,total_days,inflow_ratio,total_inflow,avg_daily_inflow,reason
002352.SZ,顺丰控股,仓储物流,8,12,66.67,1.51,0.13,近12天资金净流入8天，累计净流入1.51亿元
000651.SZ,格力电器,家用电器,10,12,83.33,3.78,0.32,近12天资金净流入10天，累计净流入3.78亿元
002142.SZ,宁波银行,银行,8,12,66.67,4.31,0.36,近12天资金净流入8天，累计净流入4.31亿元
601728.SH,中国电信,电信运营,8,12,66.67,2.67,0.22,近12天资金净流入8天，累计净流入2.67亿元
601816.SH,京沪高铁,铁路,10,12,83.33,3.32,0.28,近12天资金净流入10天，累计净流入3.32亿元
002311.SZ,海大集团,饲料,9,12,75.0,2.95,0.25,近12天资金净流入9天，累计净流入2.95亿元
603119.SH,浙江荣泰,汽车配件,8,12,66.67,3.23,0.27,近12天资金净流入8天，累计净流入3.23亿元
601998.SH,中信银行,银行,9,12,75.0,1.59,0.13,近12天资金净流入9天，累计净流入1.59亿元
002558.SZ,巨人网络,互联网,9,12,75.0,2.3,0.19,近12天资金净流入9天，累计净流入2.3亿元
603816.SH,顾家家居,家居用品,10,12,83.33,1.08,0.09,近12天资金净流入10天，累计净流入1.08亿元
600745.SH,闻泰科技,半导体,9,12,75.0,3.18,0.27,近12天资金净流入9天，累计净流入3.18亿元
688678.SH,福立旺,元器件,8,12,66.67,0.86,0.07,近12天资金净流入8天，累计净流入0.86亿元
002353.SZ,杰瑞股份,化工机械,9,12,75.0,0.65,0.05,近12天资金净流入9天，累计净流入0.65亿元
000425.SZ,徐工机械,工程机械,11,12,91.67,6.52,0.54,近12天资金净流入11天，累计净流入6.52亿元
000096.SZ,广聚能源,石油贸易,8,12,66.67,0.79,0.07,近12天资金净流入8天，累计净流入0.79亿元
600480.SH,凌云股份,汽车配件,9,12,75.0,1.26,0.11,近12天资金净流入9天，累计净流入1.26亿元
603565.SH,中谷物流,水运,11,12,91.67,1.19,0.1,近12天资金净流入11天，累计净流入1.19亿元
002345.SZ,潮宏基,服饰,9,12,75.0,0.74,0.06,近12天资金净流入9天，累计净流入0.74亿元
002937.SZ,兴瑞科技,元器件,10,12,83.33,1.01,0.08,近12天资金净流入10天，累计净流入1.01亿元
001331.SZ,胜通能源,公路,10,12,83.33,1.19,0.1,近12天资金净流入10天，累计净流入1.19亿元
601898.SH,中煤能源,煤炭开采,9,12,75.0,0.1,0.01,近12天资金净流入9天，累计净流入0.1亿元
688019.SH,安集科技,半导体,9,12,75.0,1.65,0.14,近12天资金净流入9天，累计净流入1.65亿元
603707.SH,健友股份,生物制药,10,12,83.33,0.68,0.06,近12天资金净流入10天，累计净流入0.68亿元
300553.SZ,集智股份,电器仪表,10,12,83.33,0.66,0.06,近12天资金净流入10天，累计净流入0.66亿元
002988.SZ,豪美新材,铝,9,12,75.0,0.43,0.04,近12天资金净流入9天，累计净流入0.43亿元
601006.SH,大秦铁路,铁路,9,12,75.0,0.66,0.06,近12天资金净流入9天，累计净流入0.66亿元
603733.SH,仙鹤股份,造纸,9,12,75.0,0.56,0.05,近12天资金净流入9天，累计净流入0.56亿元
601567.SH,三星医疗,电气设备,9,12,75.0,0.6,0.05,近12天资金净流入9天，累计净流入0.6亿元
603268.SH,*ST松发,家居用品,8,11,72.73,0.62,0.06,近11天资金净流入8天，累计净流入0.62亿元
605333.SH,沪光股份,汽车配件,10,12,83.33,0.68,0.06,近12天资金净流入10天，累计净流入0.68亿元
688087.SH,英科再生,环境保护,9,12,75.0,0.4,0.03,近12天资金净流入9天，累计净流入0.4亿元
603885.SH,吉祥航空,空运,8,12,66.67,0.76,0.06,近12天资金净流入8天，累计净流入0.76亿元
603826.SH,坤彩科技,染料涂料,8,12,66.67,0.35,0.03,近12天资金净流入8天，累计净流入0.35亿元
600939.SH,重庆建工,建筑工程,8,12,66.67,0.78,0.07,近12天资金净流入8天，累计净流入0.78亿元
600674.SH,川投能源,水力发电,11,12,91.67,1.94,0.16,近12天资金净流入11天，累计净流入1.94亿元
002203.SZ,海亮股份,铜,8,12,66.67,0.17,0.01,近12天资金净流入8天，累计净流入0.17亿元
688621.SH,阳光诺和,医疗保健,6,8,75.0,0.21,0.03,近8天资金净流入6天，累计净流入0.21亿元
002901.SZ,大博医疗,医疗保健,9,12,75.0,0.53,0.04,近12天资金净流入9天，累计净流入0.53亿元
688225.SH,亚信安全,软件服务,10,12,83.33,0.22,0.02,近12天资金净流入10天，累计净流入0.22亿元
300836.SZ,佰奥智能,专用机械,10,12,83.33,0.4,0.03,近12天资金净流入10天，累计净流入0.4亿元
600433.SH,冠豪高新,造纸,11,12,91.67,0.49,0.04,近12天资金净流入11天，累计净流入0.49亿元
688611.SH,杭州柯林,电气设备,9,12,75.0,0.23,0.02,近12天资金净流入9天，累计净流入0.23亿元
603137.SH,恒尚节能,装修装饰,11,12,91.67,0.22,0.02,近12天资金净流入11天，累计净流入0.22亿元
301068.SZ,大地海洋,环境保护,9,12,75.0,0.13,0.01,近12天资金净流入9天，累计净流入0.13亿元
688059.SH,华锐精密,机械基件,9,12,75.0,0.07,0.01,近12天资金净流入9天，累计净流入0.07亿元
603997.SH,继峰股份,汽车配件,9,12,75.0,0.35,0.03,近12天资金净流入9天，累计净流入0.35亿元
688228.SH,开普云,软件服务,8,12,66.67,0.1,0.01,近12天资金净流入8天，累计净流入0.1亿元
600594.SH,益佰制药,中成药,9,12,75.0,0.35,0.03,近12天资金净流入9天，累计净流入0.35亿元
603018.SH,华设集团,建筑工程,8,12,66.67,0.16,0.01,近12天资金净流入8天，累计净流入0.16亿元
688689.SH,银河微电,半导体,10,12,83.33,0.23,0.02,近12天资金净流入10天，累计净流入0.23亿元
002589.SZ,瑞康医药,医药商业,9,12,75.0,0.24,0.02,近12天资金净流入9天，累计净流入0.24亿元
601992.SH,金隅集团,水泥,8,12,66.67,0.26,0.02,近12天资金净流入8天，累计净流入0.26亿元
603055.SH,台华新材,纺织,9,12,75.0,0.11,0.01,近12天资金净流入9天，累计净流入0.11亿元
600548.SH,深高速,路桥,10,12,83.33,0.06,0.0,近12天资金净流入10天，累计净流入0.06亿元
688509.SH,正元地信,软件服务,10,12,83.33,0.08,0.01,近12天资金净流入10天，累计净流入0.08亿元
688375.SH,国博电子,元器件,9,12,75.0,0.19,0.02,近12天资金净流入9天，累计净流入0.19亿元
688468.SH,科美诊断,医疗保健,9,12,75.0,0.05,0.0,近12天资金净流入9天，累计净流入0.05亿元
688283.SH,坤恒顺维,电器仪表,8,12,66.67,0.07,0.01,近12天资金净流入8天，累计净流入0.07亿元
