code,name,industry,inflow_days,total_days,inflow_ratio,total_inflow,avg_daily_inflow,reason
601996.SH,丰林集团,家居用品,26,39,66.67,0.22,0.01,近39天资金净流入26天，累计净流入0.22万元
601992.SH,金隅集团,水泥,24,39,61.54,0.21,0.01,近39天资金净流入24天，累计净流入0.21万元
600269.SH,赣粤高速,路桥,26,39,66.67,0.21,0.01,近39天资金净流入26天，累计净流入0.21万元
603819.SH,神力股份,电气设备,24,39,61.54,0.2,0.01,近39天资金净流入24天，累计净流入0.2万元
600272.SH,开开实业,医药商业,24,39,61.54,0.2,0.01,近39天资金净流入24天，累计净流入0.2万元
603055.SH,台华新材,纺织,26,39,66.67,0.19,0,近39天资金净流入26天，累计净流入0.19万元
688458.SH,美芯晟,半导体,24,39,61.54,0.19,0,近39天资金净流入24天，累计净流入0.19万元
688081.SH,兴图新科,软件服务,24,39,61.54,0.14,0,近39天资金净流入24天，累计净流入0.14万元
600548.SH,深高速,路桥,26,39,66.67,0.14,0,近39天资金净流入26天，累计净流入0.14万元
688509.SH,正元地信,软件服务,25,39,64.1,0.13,0,近39天资金净流入25天，累计净流入0.13万元
688375.SH,国博电子,元器件,24,39,61.54,0.12,0,近39天资金净流入24天，累计净流入0.12万元
688468.SH,科美诊断,医疗保健,24,39,61.54,0.07,0,近39天资金净流入24天，累计净流入0.07万元
688001.SH,华兴源创,专用机械,26,39,66.67,0.07,0,近39天资金净流入26天，累计净流入0.07万元
688203.SH,海正生材,塑料,24,39,61.54,0.06,0,近39天资金净流入24天，累计净流入0.06万元
603879.SH,ST永悦,化工原料,24,38,63.16,0.06,0,近38天资金净流入24天，累计净流入0.06万元
688283.SH,坤恒顺维,电器仪表,24,39,61.54,0.03,0,近39天资金净流入24天，累计净流入0.03万元
300029.SZ,*ST天龙,建筑工程,24,38,63.16,0.02,0,近38天资金净流入24天，累计净流入0.02万元
